Comune,Pop_Comune_2030_Conservativo,Quota Popolazione 2030 Conservativo,EV Stimati (2030 - Conservativo),Domanda Mensile (kWh) - Conservativo,Domanda Annua (kWh) - Conservativo,Domanda Giornaliera (kWh) - Conservativo,Colonnine Necessarie - Conservativo,Comune_nome_match,n_esagoni,EV Stimati (2030 - Conservativo) per esagono,Domanda Giornaliera (kWh) - Conservativo per esagono,Domanda Mensile (kWh) - Conservativo per esagono,Domanda Annua (kWh) - Conservativo per esagono,Colonnine Necessarie - Conservativo per esagono
castenedolo,11654,0.0092227604495996,368.9104179839872,66403.8752371177,796846.5028454124,2183.1411036860613,3.930554460939693,castenedolo,33,11.17910357527234,66.15579102078974,2012.2386435490212,24146.863722588252,0.11910771093756645
gardone val trompia,11441,0.0090541961819006,362.1678472760252,65190.21250968453,782282.5501162143,2143.239863332094,3.858715770345892,gardone val trompia,20,18.10839236380126,107.1619931666047,3259.5106254842262,39114.12750581071,0.1929357885172946
castel mella,10964,0.0086767071880393,347.06828752157503,62472.2917538835,749667.501046602,2053.8835645112385,3.697837575917521,castel mella,12,28.922357293464586,171.1569637092699,5206.024312823625,62472.2917538835,0.3081531313264601
botticino,10765,0.0085192222618792,340.7688904751692,61338.40028553046,736060.8034263655,2016.604940894152,3.630720677193736,botticino,23,14.816038716311704,87.67847569105008,2666.8869689361068,32002.643627233283,0.15785742074755374
cazzago san martino,10758,0.0085136825911097,340.5473036443911,61298.5146559904,735582.1758718847,2015.2936325257117,3.628359781258727,cazzago san martino,29,11.743010470496245,69.49288388019696,2113.7418846893243,25364.902616271887,0.125115854526163
villa carcina,10686,0.0084567031203382,338.26812481353073,60888.26246643553,730659.1495972264,2001.8058893074697,3.604076280212937,villa carcina,12,28.18901040112756,166.81715744228913,5074.021872202961,60888.26246643553,0.30033969001774474
nave,10618,0.0084028891757207,336.1155670288293,60500.80206518927,726009.6247822712,1989.0674651569077,3.5811418625585776,nave,39,8.618347872534084,51.00172987581815,1551.3026170561352,18615.631404673622,0.09182415032201481
salò,10493,0.008303966483409,332.15865933636326,59788.558680545386,717462.7041665446,1965.651244291903,3.5389830065762995,salò,37,8.977261063144953,53.12570930518657,1615.9069913660915,19390.883896393098,0.09564818936692701
rodengo saiano,9930,0.0078584186772374,314.3367470894965,56580.61447610938,678967.3737133126,1860.1845855159247,3.349099519232122,rodengo saiano,17,18.49039688761744,109.42262267740733,3328.27143977114,39939.25727725368,0.19700585407247775
capriolo,9462,0.0074880521172225,299.522084688904,53913.97524400272,646967.7029280326,1772.5142545973497,3.191256762434476,capriolo,15,19.968138979260267,118.16761697315664,3594.2650162668483,43131.18019520217,0.21275045082896507
roncadelle,9309,0.0073669707418331,294.6788296733256,53042.18934119861,636506.2720943834,1743.8528002585845,3.139654322712168,roncadelle,19,15.509412088069768,91.78172632939918,2791.6941758525586,33500.3301102307,0.165244964353272
borgosatollo,9145,0.0072371841695202,289.4873667808103,52107.72602054585,625292.7122465502,1713.1307184836994,3.0843419036634203,borgosatollo,6,48.247894463468384,285.5217864139499,8684.621003424309,104215.4520410917,0.5140569839439034
iseo,9037,0.0071517149633629,286.06859853451965,51492.34773621354,617908.1728345625,1692.8991036563357,3.047916652094732,iseo,31,9.22801930756515,54.60964850504309,1661.0434753617271,19932.521704340725,0.09831989200305587
coccaglio,8815,0.0069760282618175,279.0411304727001,50227.40348508602,602728.8418210322,1651.3118954000884,2.973042523870207,coccaglio,11,25.367375497518193,150.11926321818984,4566.127589553274,54793.53107463929,0.27027659307910973
erbusco,8815,0.0069760282618175,279.0411304727001,50227.40348508602,602728.8418210322,1651.3118954000884,2.973042523870207,erbusco,18,15.502285026261116,91.73954974444935,2790.411304727001,33484.93565672401,0.1651690291039004
flero,8772,0.0069419988556622,277.6799542264918,49982.39176076853,599788.7011292223,1643.256715422527,2.958539877412304,flero,16,17.35499713915574,102.70354471390793,3123.899485048033,37486.79382057639,0.184908742338269
calvisano,8416,0.0066602670279587,266.41068111834875,47953.92260130277,575447.0712156333,1576.5673183989954,2.8384714555747776,calvisano,53,5.026616624874505,29.746553177339536,904.7909924774108,10857.49190972893,0.053556065199524105
castegnato,8382,0.0066333600556499,265.334402225998,47760.19240067963,573122.3088081556,1570.198106323714,2.827004246747597,castegnato,19,13.964968538210423,82.64200559598494,2513.6943368778752,30164.332042534505,0.14878969719724194
vobarno,8348,0.0066064530833411,264.25812333364723,47566.4622000565,570797.546400678,1563.8288942484328,2.815537037920418,vobarno,72,3.670251712967323,21.719845753450457,660.645308334118,7927.743700009417,0.039104681082228025
sirmione,8329,0.0065914168341098,263.6566733643924,47458.20120559064,569498.4144670877,1560.2696286769526,2.809128891811113,sirmione,35,7.533047810411212,44.57913224791293,1355.9486058740183,16271.38327048822,0.0802608254803175
verolanuova,8096,0.0064070249356408,256.28099742563586,46130.57953661445,553566.9544393735,1516.6217929845848,2.730544784260147,verolanuova,21,12.203857020268375,72.22008538021832,2196.6942636483072,26360.331163779687,0.13002594210762605
pisogne,7899,0.0062511227725577,250.04491090230948,45008.08396241571,540097.0075489886,1479.7178289013386,2.6641024272320784,pisogne,60,4.167415181705158,24.66196381502231,750.1347327069285,9001.616792483142,0.044401707120534636
cologne,7640,0.006046154954088,241.84619816352,43532.3156694336,522387.7880332032,1431.19941926905,2.576749277636799,cologne,20,12.092309908176,71.5599709634525,2176.61578347168,26119.389401660163,0.12883746388183995
castrezzato,7631,0.0060390325202415,241.56130080966244,43481.03414573924,521772.4097488709,1429.5134513667697,2.5737138400060746,castrezzato,19,12.71375267419276,75.23755007193525,2288.475481354697,27461.705776256364,0.13545862315821444
toscolano-maderno,7620,0.0060303273233181,241.21309293272543,43418.35672789058,521020.280734687,1427.4528239306494,2.570003860679635,toscolano-maderno,81,2.9779394189225363,17.62287436951419,536.0290954060566,6432.349144872679,0.031728442724439934
bovezzo,7345,0.0058126974002325,232.5078960093003,41851.421281674055,502217.0553800886,1375.93713802764,2.477254377518624,bovezzo,7,33.21541371561433,196.56244828966285,5978.7744688105795,71745.29362572695,0.3538934825026606
corte franca,7209,0.0057050695109974,228.2027804398973,41076.50047918152,492918.00575017824,1350.4602897265158,2.4313855422099064,corte franca,20,11.410139021994866,67.52301448632579,2053.825023959076,24645.900287508914,0.12156927711049532
adro,7187,0.0056876591171505,227.5063646860233,40951.1456434842,491413.7477218104,1346.339034854275,2.4239655835570253,adro,19,11.974019194001226,70.85994920285658,2155.3234549202207,25863.881459042652,0.12757713597668555
provaglio d'iseo,7175,0.0056781625386886,227.1265015475466,40882.77027855839,490593.2433427007,1344.0910776512346,2.4199183333827268,provaglio d'iseo,23,9.875065284675939,58.438742506575416,1777.5117512416691,21330.14101490003,0.10521384058185769
pontevico,7036,0.0055681605048381,222.7264201935245,40090.7556348344,481089.0676180128,1318.05224004935,2.3730376855304343,pontevico,43,5.179684190547081,30.65237767556628,932.3431542984745,11188.117851581692,0.055186922919312424
pontoglio,6984,0.0055270086648364,221.0803465934586,39794.46238682255,477533.5486418706,1308.3110921695086,2.355499601441807,pontoglio,16,13.817521662091162,81.76944326059429,2487.1538991764096,29845.846790116913,0.14721872509011294
passirano,6924,0.0054795257725268,219.18103090107493,39452.58556219349,473431.0267463219,1297.0713061543065,2.335263350570313,passirano,21,10.437191947670234,61.76530029306222,1878.6945505806423,22544.33460696771,0.11120301669382443
castelcovati,6909,0.0054676550494494,218.70620197797905,39367.11635603623,472405.39627243474,1294.2613596505062,2.3302042878524407,castelcovati,9,24.30068910866434,143.80681773894514,4374.124039559581,52489.48847471497,0.2589115875391601
prevalle,6835,0.0054090928156009,216.36371262403915,38945.468272327045,467345.6192679246,1280.3989568984234,2.305246245110932,prevalle,16,13.522732039002447,80.02493480615146,2434.0917670204403,29209.101204245286,0.14407789031943324
torbole casaglia,6472,0.0051218213171279,204.872852685118,36877.11348332124,442525.3617998549,1212.3982515064515,2.1828169273383984,torbole casaglia,17,12.051344275595177,71.31754420626186,2169.241969607132,26030.903635285584,0.12840099572578814
quinzano d'oglio,6242,0.0049398035632745,197.5921425309806,35566.585655576506,426799.02786691807,1169.312405114844,2.1052446323310074,quinzano d'oglio,42,4.7045748221662045,27.84077155035343,846.8234679899168,10161.881615879001,0.05012487219835732
rudiano,5947,0.004706346009419,188.25384037676093,33885.69126781697,406628.2952138037,1114.0501238734346,2.005749732212833,rudiano,16,11.765865023547558,69.62813274208966,2117.8557042385605,25414.26845086273,0.12535935826330205
villanuova sul clisi,5847,0.0046272078555697,185.08831422278817,33315.89656010187,399790.75872122246,1095.3171471814314,1.9720226474270115,villanuova sul clisi,12,15.424026185232348,91.27642893178596,2776.3247133418226,33315.89656010187,0.16433522061891762
dello,5647,0.004468931547871,178.75726191484262,32176.30714467167,386115.68573606,1057.851193797425,1.9045684778553669,dello,37,4.831277349049801,28.590572805335807,869.6299228289641,10435.559073947568,0.051474823725820726
trenzano,5507,0.004358138132482,174.3255252992807,31378.594553870527,376543.1346464463,1031.62502642862,1.857350559155216,trenzano,22,7.923887513603669,46.892046655846364,1426.2997524486602,17115.597029383924,0.08442502541614617
borgo san giacomo,5447,0.0043106552401724,172.42620960689706,31036.71772924147,372440.6127508977,1020.3852404134184,1.8371143082837231,borgo san giacomo,43,4.009911851323188,23.729889311939964,721.7841332381737,8661.409598858087,0.04272358856473775
manerba del garda,5413,0.0042837482678636,171.3499307145463,30842.98752861833,370115.85034342,1014.016028338137,1.8256470994565432,manerba del garda,47,3.6457432066924746,21.57480911357738,656.2337772046453,7874.805326455745,0.03884355530758603
poncarale,5210,0.0041230978155495,164.92391262198157,29686.304271956684,356235.6512634802,975.9880856533704,1.7571811173413248,poncarale,17,9.701406624822445,57.411063861962965,1746.2531924680402,20955.03830961648,0.10336359513772499
montirone,5089,0.0040273406493918,161.0936259756745,28996.85267562141,347962.23210745695,953.3211838560464,1.7163713447504805,montirone,10,16.10936259756745,95.33211838560464,2899.685267562141,34796.223210745695,0.17163713447504805
esine,5079,0.0040194268340069,160.77707336027723,28939.8732048499,347278.47845819884,951.4478861868462,1.7129986362718983,esine,53,3.0335296860429666,17.951846909185775,546.0353434877339,6552.424121852809,0.03232072898626223
gottolengo,5000,0.0039569076924659,158.27630769863873,28489.73538575497,341876.82462905964,936.6488346001634,1.6863542392910984,gottolengo,44,3.5971888113326984,21.287473513640077,647.4939860398857,7769.927832478628,0.038326232711161326
paratico,4985,0.0039450369693885,157.80147877554285,28404.26617959771,340851.19415517256,933.8388880963632,1.6812951765732258,paratico,4,39.45036969388571,233.4597220240908,7101.066544899428,85212.79853879314,0.42032379414330645
roccafranca,4889,0.0038690643416932,154.76257366772896,27857.26326019121,334287.1591222945,915.8552304720398,1.648917175178836,roccafranca,27,5.731947172878851,33.92056409155703,1031.750491118193,12381.005893418316,0.06107100648810504
cellatica,4883,0.0038643160524622,154.5726420984906,27823.07557772831,333876.9069327397,914.7312518705196,1.646893550091687,cellatica,8,19.321580262311326,114.34140648381495,3477.8844472160386,41734.613366592464,0.20586169376146088
padenghe sul garda,4862,0.0038476970401539,153.9078816061563,27703.418689108137,332441.02426929766,910.797326765199,1.6398108622866645,padenghe sul garda,30,5.13026272020521,30.3599108921733,923.4472896369379,11081.367475643256,0.05466036207622215
piancogno,4806,0.0038033796739982,152.13518695993156,27384.33365278768,328612.0038334522,900.3068598176773,1.620923694806604,piancogno,14,10.86679906856654,64.30763284411981,1956.0238323419774,23472.285988103726,0.11578026391475742
pian camuno,4794,0.0037938830955363,151.75532382145482,27315.958287861868,327791.4994543424,898.0589026146367,1.6168764446323054,pian camuno,15,10.117021588096987,59.87059350764245,1821.0638858574578,21852.766630289494,0.10779176297548702
nuvolera,4744,0.0037543140186117,150.17256074446846,27031.060934004323,324372.7312080519,888.6924142686354,1.600012902239395,nuvolera,17,8.833680043792262,52.27602436874326,1590.0624078826072,19080.74889459129,0.09411840601408206
capriano del colle,4737,0.0037487743478422,149.95097391369035,26991.17530446426,323894.1036535711,887.3811059001948,1.5976520063043866,capriano del colle,23,6.519607561464798,38.581787213051946,1173.5293610636636,14082.352332763961,0.06946313070888638
san zeno naviglio,4697,0.0037171190863025,148.68476345210124,26763.25742137822,321159.08905653865,879.8879152233935,1.584161172390058,san zeno naviglio,1,148.68476345210124,879.8879152233935,26763.25742137822,321159.08905653865,1.584161172390058
breno,4666,0.0036925862586092,147.70345034436968,26586.621061986545,319039.45274383854,874.0806924488727,1.5737057761064537,breno,89,1.659589329712019,9.82113137583003,298.7260793481634,3584.712952177961,0.017682087371982624
monticelli brusati,4621,0.003656974089377,146.27896357508192,26330.213443514745,315962.56132217695,865.6508529374711,1.5585285879528334,monticelli brusati,7,20.896994796440275,123.66440756249587,3761.4590633592493,45137.50876031099,0.22264694113611908
gambara,4562,0.0036102825786059,144.411303144238,25994.03456596284,311928.41479155404,854.5983966891891,1.5386296079291983,gambara,59,2.447649205834542,14.484718587952358,440.57685705021765,5286.9222846026105,0.026078467931003362
