Comune,Pop_tot,Quota Popolazione,EV Stimati (Attuali),Domanda Mensile (kWh) - Attuali,Domanda Annua (kWh) - Attuali,Domanda Giornaliera (kWh) - Attuali,Colonnine Necessarie - Attuali,Comune_nome_match,n_esagoni,EV Stimati (Attuali) per esagono,Domanda Giornaliera (kWh) - Attuali per esagono,Domanda Mensile (kWh) - Attuali per esagono,Domanda Annua (kWh) - Attuali per esagono,Colonnine Necessarie - Attuali per esagono
pian camuno,4770,0.0037937654991625,37.93765499162508,6828.777898492514,81945.33478191018,224.5077665257813,0.4042065818574835,pian camuno,15,2.529176999441672,14.967184435052086,455.25185989950097,5463.022318794012,0.026947105457165565
nuvolera,4720,0.003753998565209,37.53998565209023,6757.197417376242,81086.3690085149,222.1544356397669,0.3999696155906336,nuvolera,17,2.208234450122955,13.067907978809817,397.4822010221319,4769.786412265582,0.02352762444650786
capriano del colle,4713,0.0037484311944555,37.48431194455535,6747.176150019964,80966.11380023956,221.8249693157248,0.3993764403132746,capriano del colle,23,1.629752693241537,9.644563883292381,293.3554847834767,3520.26581740172,0.0173641930570989
san zeno naviglio,4674,0.0037174129859718,37.17412985971816,6691.343374749269,80296.12049699124,219.98937122463352,0.3960716066251316,san zeno naviglio,1,37.17412985971816,219.98937122463352,6691.343374749269,80296.12049699124,0.3960716066251316
breno,4643,0.0036927574869206,36.92757486920655,6646.963476457179,79763.56171748615,218.5303060753045,0.3934446875396847,breno,89,0.41491657156411854,2.4553966974753316,74.68498288154134,896.2197945784961,0.004420726826288592
monticelli brusati,4598,0.0036569672463625,36.56967246362519,6582.541043452534,78990.49252143041,216.41230827789155,0.3896314178995197,monticelli brusati,7,5.224238923375027,30.916044039698793,940.3630062075048,11284.356074490059,0.055661631128502816
gambara,4539,0.0036100422642974,36.10042264297406,6498.076075735331,77976.91290882397,213.63537783239445,0.3846317977046369,gambara,59,0.6118715702198994,3.6209386073287195,110.13688263958188,1321.6425916749827,0.006519183011942998
collebeato,4454,0.0035424384765764,35.424384765764806,6376.389257837665,76516.67109405198,209.6347153261698,0.3774289550509919,collebeato,8,4.428048095720601,26.204339415771226,797.0486572297082,9564.583886756498,0.047178619381373986
san paolo,4429,0.0035225550095997,35.22555009599738,6340.599017279528,76087.18820735434,208.45804988316257,0.375310471917567,san paolo,19,1.8539763208419673,10.971476309640135,333.7157377515541,4004.5888530186494,0.019753182732503528
edolo,4391,0.003492332139795,34.92332139795089,6286.197851631161,75434.37421957393,206.6695184097916,0.3720903775547611,edolo,113,0.30905594157478666,1.8289337912370938,55.630069483461604,667.5608338015393,0.003292835199599656
roè volciano,4353,0.0034621092699904,34.621092699904395,6231.796685982791,74781.5602317935,204.88098693642053,0.368870283191955,roè volciano,4,8.655273174976099,51.22024673410513,1557.9491714956978,18695.390057948374,0.09221757079798874
marcheno,4161,0.003309404243609,33.09404243609056,5956.927638496301,71483.13166195562,195.84419633412497,0.3526003327272514,marcheno,38,0.8708958535813306,5.15379464037171,156.7612536446395,1881.1350437356741,0.009278956124401352
vestone,4145,0.0032966788247439,32.9667882474394,5934.021884539093,71208.26261446912,195.09113045060036,0.3512445035218594,vestone,13,2.5359067882645694,15.007010034661565,456.4632218876225,5477.5586626514705,0.02701880796321995
comezzano-cizzago,4102,0.0032624792615439,32.62479261543943,5872.462670779098,70469.55204934918,193.06726588862787,0.3476007125323684,comezzano-cizzago,22,1.4829451188836105,8.775784813119449,266.9301213990499,3203.161456788599,0.015800032387834926
offlaga,4093,0.0032553212134323,32.55321213432316,5859.578184178169,70314.93821013803,192.6436663291453,0.3468380586043355,offlaga,36,0.9042558926200878,5.351212953587369,162.7660606716158,1953.1927280593898,0.009634390516787097
isorella,4060,0.003229075037023,32.29075037023016,5812.335066641428,69748.02079969714,191.09046794437572,0.3440416608682145,isorella,15,2.1527166913486773,12.739364529625048,387.4890044427619,4649.868053313143,0.022936110724547636
sabbio chiese,4005,0.0031853314096741,31.85331409674182,5733.596537413528,68803.15844896233,188.50180396975983,0.3393809979746796,sabbio chiese,24,1.3272214206975759,7.854241832073327,238.89985572556364,2866.798268706764,0.014140874915611648
nuvolento,3890,0.0030938674615811,30.93867461581165,5568.961430846097,66827.53717015317,183.0891429319265,0.3296359755609247,nuvolento,7,4.419810659401664,26.15559184741807,795.5659186922995,9546.791024307595,0.047090853651560675
verolavecchia,3814,0.0030334217219718,30.334217219718678,5460.159099549362,65521.90919459234,179.5120799851845,0.3231957868353128,verolavecchia,28,1.0833649007042385,6.411145713756589,195.0056821267629,2340.068185521155,0.011542706672689742
bienno,3771,0.0029992221587718,29.9922215877187,5398.5998857893655,64783.19862947239,177.48821542321204,0.3195519958458219,bienno,70,0.4284603083959814,2.535545934617315,77.12285551127665,925.4742661353199,0.00456502851208317
bagolino,3767,0.0029960408040555,29.960408040555908,5392.873447300063,64714.48136760076,177.29994895233085,0.3192130385444738,bagolino,126,0.23778101619488817,1.4071424520026259,42.800582915079865,513.6069949809585,0.00253343681384503
lograto,3763,0.0029928594493393,29.928594493393124,5387.147008810763,64645.76410572915,177.11168248144972,0.3188740812431259,lograto,26,1.1510997882074279,6.811987787748066,207.19796187733704,2486.375542528044,0.012264387740120227
urago d'oglio,3755,0.0029864967399067,29.86496739906754,5375.694131832158,64508.32958198589,176.73514953968737,0.3181961666404299,urago d'oglio,18,1.6591648555037524,9.81861941887152,298.6496739906754,3583.796087888105,0.017677564813357215
pompiano,3711,0.0029515018380276,29.51501838027687,5312.703308449837,63752.43970139805,174.66421835999466,0.314467636325602,pompiano,25,1.1806007352110748,6.986568734399786,212.5081323379935,2550.0975880559217,0.012578705453024079
calvagese della riviera,3671,0.0029196882908648,29.19688290864899,5255.438923556819,63065.26708268182,172.78155365118306,0.311078063312122,calvagese della riviera,19,1.536678047823631,9.093765981641214,276.6020486082536,3319.2245832990434,0.016372529648006423
paderno franciacorta,3640,0.0028950327918137,28.95032791813738,5211.059025264728,62532.70830317674,171.32248850185408,0.3084511442266751,paderno franciacorta,5,5.7900655836274755,34.26449770037082,1042.2118050529457,12506.541660635348,0.06169022884533502
pozzolengo,3584,0.0028504938257858,28.504938257858345,5130.888886414502,61570.66663697403,168.6867579095179,0.3037057420078032,pozzolengo,36,0.7918038404960651,4.685743275264386,142.52469128929172,1710.2962954715008,0.008436270611327866
artogne,3582,0.0028489031484276,28.48903148427695,5128.025667169851,61536.308006038205,168.59262467407729,0.3035362633571291,artogne,14,2.0349308203054965,12.042330333862663,366.28754765498934,4395.450571859872,0.021681161668366363
mairano,3519,0.0027987968116463,27.987968116463037,5037.834260963346,60454.01113156015,165.62742775769905,0.2981976858608982,mairano,11,2.544360737860276,15.05703888706355,457.9849328148497,5495.819193778196,0.027108880532808924
san felice del benaco,3465,0.0027558485229765,27.55848522976539,4960.527341357771,59526.32809629325,163.08583040080342,0.2936217622927003,san felice del benaco,31,0.888983394508561,5.260833238735594,160.017011011541,1920.2041321384918,0.00947166975137743
puegnago del garda,3454,0.0027470997975067,27.47099797506772,4944.77963551219,59337.35562614628,162.5680976058802,0.2926896297139933,puegnago del garda,14,1.962214141076266,11.612006971848587,353.19854539372784,4238.3825447247345,0.020906402122428093
azzano mella,3418,0.0027184676050602,27.18467605060263,4893.241689108473,58718.90026930168,160.8736993679498,0.2896390140018614,azzano mella,10,2.7184676050602627,16.08736993679498,489.32416891084733,5871.8900269301685,0.028963901400186138
remedello,3374,0.0026834727031811,26.83472703181196,4830.250865726152,57963.01038871383,158.80276818825706,0.2859104836870334,remedello,28,0.9583831082789985,5.6715274352948954,172.50895949021972,2070.107513882637,0.010211088703108337
sale marasino,3260,0.0025928040937672,25.92804093767249,4667.047368781048,56004.56842537258,153.43717376814405,0.2762502005986156,sale marasino,24,1.080335039069687,6.393215573672669,194.46030703254368,2333.523684390524,0.011510425024942317
ome,3163,0.0025156562418974,25.15656241897487,4528.181235415477,54338.17482498573,148.87171184927595,0.2680304860409267,ome,18,1.3975868010541594,8.270650658293109,251.56562418974875,3018.787490276985,0.014890582557829261
marone,3112,0.0024750939692649,24.75093969264932,4455.169144676878,53462.02973612254,146.4713143455412,0.2637087804487398,marone,33,0.7500284755348279,4.438524677137612,135.00512559626904,1620.0615071552284,0.007991175165113327
serle,3081,0.0024504384702137,24.504384702137717,4410.789246384788,52929.47095661746,145.01224919621222,0.2610818613632928,serle,22,1.1138356682789872,6.591465872555101,200.49042029021766,2405.8850434826118,0.011867357334695128
