Comune,Pop_Comune_2030_Ottimistico,Quota Popolazione 2030 Ottimistico,EV Stimati (2030 - Ottimistico),Domanda Mensile (kWh) - Ottimistico,Domanda Annua (kWh) - Ottimistico,Domanda Giornaliera (kWh) - Ottimistico,Colonnine Necessarie - Ottimistico,Comune_nome_match,n_esagoni,EV Stimati (2030 - Ottimistico) per esagono,Domanda Giornaliera (kWh) - Ottimistico per esagono,Domanda Mensile (kWh) - Ottimistico per esagono,Domanda Annua (kWh) - Ottimistico per esagono,Colonnine Necessarie - Ottimistico per esagono
villa carcina,10792,0.008456447571122,507.3868542673246,91329.63376811844,1095955.6052174212,3002.618096486085,5.405951055437949,villa carcina,12,42.28223785561038,250.21817470717374,7610.8028140098695,91329.63376811844,0.4504959212864958
nave,10723,0.0084023802173037,504.1428130382248,90745.70634688048,1088948.4761625656,2983.420482637166,5.371387432122048,nave,39,12.926738795851918,76.49796109326067,2326.812983253346,27921.755799040144,0.1377278828749243
salò,10598,0.0083044321125603,498.2659267536237,89687.86681565226,1076254.4017878273,2948.642196678979,5.308772172491791,salò,37,13.466646669016857,79.69303234267511,2423.996400423034,29087.956805076414,0.14348032898626462
rodengo saiano,10029,0.0078585723397686,471.5143403861192,84872.58126950146,1018470.9752340176,2790.331438997308,5.023747510654855,rodengo saiano,17,27.73613766977172,164.1371434704299,4992.504780558909,59910.05736670692,0.29551455945028554
capriolo,9556,0.0074879367114198,449.2762026851885,80869.71648333393,970436.5978000072,2658.7304049315267,4.78681136821396,capriolo,15,29.95174684567923,177.24869366210177,5391.314432222262,64695.773186667146,0.31912075788093064
roncadelle,9402,0.0073672646463759,442.0358787825599,79566.45818086078,954797.4981703293,2615.883556631039,4.709669368349481,roncadelle,19,23.26504625171368,137.67808192794942,4187.708325308462,50252.49990370154,0.24787733517628846
borgosatollo,9236,0.0072371895632768,434.2313737966096,78161.64728338971,937939.7674006766,2569.697992878566,4.626516303560498,borgosatollo,6,72.37189563276827,428.2829988130943,13026.941213898286,156323.29456677943,0.7710860505934164
iseo,9127,0.0071517788159406,429.1067289564374,77239.21121215873,926870.5345459048,2539.3713275230266,4.571915797162914,iseo,31,13.842152546981852,81.91520411364601,2491.587458456733,29899.0495014808,0.14748115474719078
coccaglio,8903,0.0069762558122405,418.57534873443217,75343.5627721978,904122.7532663736,2477.048639085955,4.459709251905493,coccaglio,11,38.05230443040293,225.186239916905,6849.4147974725265,82192.97756967033,0.40542811380959026
erbusco,8903,0.0069762558122405,418.57534873443217,75343.5627721978,904122.7532663736,2477.048639085955,4.459709251905493,erbusco,18,23.254186040801788,137.61381328255305,4185.753487344322,50229.04184813187,0.24776162510586072
flero,8859,0.0069417780793708,416.5066847622525,74971.20325720546,899654.4390864655,2464.8066824286725,4.437668680515642,flero,16,26.031667797640782,154.05041765179203,4685.700203575341,56228.402442904095,0.2773542925322276
calvisano,8500,0.0066604711225479,399.628267352878,71933.08812351804,863197.0574822165,2364.9234451567577,4.25783765485754,calvisano,53,7.540155987790151,44.62119707842939,1357.2280778022273,16286.736933626726,0.08033655952561396
castegnato,8465,0.0066330456532198,397.9827391931897,71636.89305477415,859642.7166572898,2355.185525088465,4.240305382161068,castegnato,19,20.946459957536298,123.9571328993929,3770.362792356534,45244.35350827841,0.22317396748216148
vobarno,8431,0.0066064037687296,396.3842261237782,71349.16070228007,856189.928427361,2345.7258313078382,4.223274031541639,vobarno,72,5.505336473941364,32.57952543483108,990.9605653094454,11891.526783713347,0.05865658377141165
sirmione,8412,0.0065915156568086,395.4909394085189,71188.36909353339,854260.4291224007,2340.439531842194,4.21375651207784,sirmione,35,11.299741125957683,66.86970090977697,2033.9534026723825,24407.44083206859,0.12039304320222399
verolanuova,8177,0.0064073732198911,384.4423931934687,69199.63077482436,830395.5692978923,2275.056354240801,4.096039823972954,verolanuova,21,18.306780628260416,108.33601686860956,3295.2205130868742,39542.64615704249,0.19504951542728352
pisogne,7978,0.0062514398371397,375.08639022838366,67515.55024110906,810186.6028933087,2219.689322995366,3.996356330641583,pisogne,60,6.251439837139728,36.99482204992277,1125.259170685151,13503.110048221812,0.06660593884402638
cologne,7716,0.0060461406095976,362.76843657585965,65298.318583654735,783579.8230038568,2146.794035627005,3.865114746456563,cologne,20,18.138421828792982,107.33970178135026,3264.915929182737,39178.99115019284,0.19325573732282814
castrezzato,7707,0.0060390883460561,362.3453007633684,65222.1541374063,782665.8496488757,2144.289999038016,3.860606447763184,castrezzato,19,19.07080530333518,112.8573683704219,3432.7449546003318,41192.93945520398,0.2031898130401676
toscolano-maderno,7696,0.0060304689128387,361.82813477032346,65129.06425865823,781548.7711038988,2141.2295098736954,3.855096304915722,toscolano-maderno,81,4.467014009510166,26.434932220662905,804.0625217118301,9648.75026054196,0.04759378154216941
