Comune,Pop_tot,Quota Popolazione,EV Stimati (Attuali),Domanda Mensile (kWh) - Attuali,Domanda Annua (kWh) - Attuali,Domanda Giornaliera (kWh) - Attuali,Colonnine Necessarie - Attuali
Artogne,3582,0.002848903148427695,28.48903148427695,5128.025667169851,61536.308006038205,168.59262467407729,0.30353626335712913
Mairano,3519,0.002798796811646303,27.987968116463033,5037.834260963346,60454.01113156015,165.62742775769905,0.29819768586089823
San Felice del Benaco,3465,0.0027558485229765392,27.55848522976539,4960.527341357771,59526.32809629325,163.08583040080342,0.2936217622927003
Puegnago del Garda,3454,0.0027470997975067722,27.47099797506772,4944.77963551219,59337.35562614628,162.5680976058802,0.2926896297139933
Azzano Mella,3418,0.0027184676050602628,27.18467605060263,4893.241689108473,58718.90026930168,160.8736993679498,0.2896390140018614
Remedello,3374,0.0026834727031811957,26.83472703181196,4830.250865726152,57963.010388713825,158.80276818825706,0.2859104836870334
Sale Marasino,3260,0.002592804093767249,25.92804093767249,4667.047368781048,56004.56842537258,153.43717376814405,0.2762502005986156
Ome,3163,0.002515656241897487,25.15656241897487,4528.181235415477,54338.17482498573,148.87171184927595,0.2680304860409267
Marone,3112,0.002475093969264932,24.75093969264932,4455.169144676878,53462.02973612254,146.4713143455412,0.2637087804487398
Serle,3081,0.0024504384702137712,24.504384702137713,4410.789246384788,52929.47095661746,145.01224919621222,0.26108186136329287
Malonno,3005,0.0023899927306044733,23.89992730604473,4301.986915088051,51623.842981056616,141.43518624947018,0.2546416726376809
Pralboino,2798,0.0022253576240370437,22.253576240370435,4005.6437232666785,48067.72467920014,131.69239638137023,0.23710063229292216
Berlingo,2755,0.0021911580608370462,21.911580608370464,3944.0845095066834,47329.0141140802,129.6685318193978,0.23345684130343125
Polpenazze del Garda,2729,0.0021704792551812337,21.704792551812336,3906.8626593262206,46882.35191191465,128.44479975867029,0.23125361884466933
Muscoline,2697,0.0021450284174510032,21.45028417451003,3861.0511514118057,46332.613816941666,126.938667991621,0.22854196043388533
Gargnano,2693,0.002141847062734724,21.418470627347244,3855.3247129225037,46263.896555070045,126.75040152073984,0.22820300313253733
San Gervasio Bresciano,2680,0.002131507659906818,21.315076599068178,3836.713787832272,46040.56545398726,126.13853549037606,0.2271013919031563
Pavone del Mella,2676,0.0021283263051905393,21.283263051905394,3830.987349342971,45971.84819211565,125.95026901949493,0.22676243460180837
Cividate Camuno,2656,0.002112419531609145,21.124195316091452,3802.3551568964613,45628.261882757535,125.00893666508914,0.2250676480950684
Gardone Riviera,2631,0.0020925360646324026,20.925360646324027,3766.564916338325,45198.778996059904,123.83227122208193,0.2229491649616435
Moniga del Garda,2622,0.002085378016520775,20.85378016520775,3753.6804297373947,45044.165156848736,123.40867166259928,0.22218651103361042
Polaveno,2458,0.0019549424731533428,19.549424731533428,3518.896451676017,42226.757420112204,115.68974635647179,0.20828926167834264
Berzo Inferiore,2450,0.0019485797637207852,19.485797637207853,3507.4435746974136,42089.32289636896,115.31321341470948,0.20761134707564669
Orzivecchi,2446,0.0019453984090045064,19.453984090045065,3501.7171362081117,42020.60563449734,115.12494694382833,0.2072723897742987
Borno,2436,0.0019374450222138092,19.37445022213809,3487.401039984856,41848.812479818276,114.65428076662542,0.2064249965209287
Bassano Bresciano,2334,0.0018563204769486991,18.56320476948699,3341.376858507658,40096.5223020919,109.85348575915589,0.19778158533655482
Alfianello,2331,0.00185393446091149,18.5393446091149,3337.082029640682,40044.98435568818,109.71228590599502,0.19752736736054383
Barbariga,2330,0.0018531391222324203,18.531391222324203,3335.6504200183563,40027.80504022028,109.66521928827474,0.19744262803520685
Capo di Ponte,2323,0.0018475717514789324,18.475717514789324,3325.629152662078,39907.54983194494,109.33575296423271,0.19684945275784785
Angolo Terme,2306,0.0018340509939347473,18.340509939347474,3301.291789082545,39615.501468990544,108.5356204629878,0.19540888422711888
Paitone,2181,0.0017346336590510338,17.346336590510337,3122.3405862918607,37468.08703550233,102.65229324795159,0.18481646855999406
Caino,2161,0.0017187268854696395,17.187268854696395,3093.708393845351,37124.500726144215,101.71096089354579,0.18312168205325408
Gianico,2127,0.0016916853703812696,16.916853703812695,3045.033666686285,36540.404000235416,100.11069589105594,0.1802405449917961
Tremosine sul Garda,2069,0.0016455557269952263,16.455557269952262,2962.0003085914072,35544.00370309689,97.38083206327914,0.17532566412225017
Bovegno,2017,0.0016041981156836016,16.041981156836016,2887.556608230483,34650.6792987658,94.9333679418241,0.17091921920472627
Collio,1991,0.001583519310027789,15.835193100277891,2850.3347580500204,34204.01709660025,93.70963588109657,0.16871599674596433
Fiesse,1991,0.001583519310027789,15.835193100277891,2850.3347580500204,34204.01709660025,93.70963588109657,0.16871599674596433
Visano,1982,0.0015763612619161618,15.763612619161618,2837.4502714490914,34049.403257389095,93.28603632161396,0.1679533428179313
Niardo,1944,0.0015461383921115128,15.461383921115129,2783.0491058007233,33396.58926960868,91.49750484824297,0.16473324845512538
Sulzano,1940,0.001542957037395234,15.42957037395234,2777.322667311421,33327.87200773705,91.3092383773618,0.16439429115377738
Malegno,1930,0.0015350036506045369,15.350036506045369,2763.0065710881663,33156.078853057996,90.8385722001589,0.16354689790040738
Soiano del Lago,1926,0.001531822295888258,15.318222958882581,2757.2801325988644,33087.361591186374,90.65030572927773,0.16320794059905938
