Comune,Pop_Comune_2030_Conservativo,Quota Popolazione 2030 Conservativo,EV Stimati (2030 - Conservativo),Domanda Mensile (kWh) - Conservativo,Domanda Annua (kWh) - Conservativo,Domanda Giornaliera (kWh) - Conservativo,Colonnine Necessarie - Conservativo
Bassano Bresciano,2346,0.0018565810893050325,74.2632435722013,13367.383842996234,160408.6061159548,439.4756331943967,0.7912374090753835
Alfianello,2343,0.0018542069446895529,74.16827778758211,13350.29000176478,160203.48002117738,438.9136438936367,0.7902255965318089
Barbariga,2342,0.0018534155631510596,74.13662252604239,13344.59205468763,160135.10465625155,438.7263141267166,0.7898883256839506
Capo di Ponte,2335,0.0018478758923816073,73.9150356952643,13304.706425147573,159656.47710177087,437.4150057582764,0.7875274297489431
Angolo Terme,2318,0.0018344224062272231,73.37689624908893,13207.841324836007,158494.09589803207,434.23039972063583,0.7817938253353534
Paitone,2192,0.0017347083323770807,69.38833329508323,12489.899993114981,149878.79991737977,410.6268490887117,0.7392976985052178
Caino,2172,0.0017188807016072169,68.75522806428867,12375.941051571961,148511.29261886352,406.880253750311,0.7325522815480532
Gianico,2138,0.0016919737292984483,67.67894917193793,12182.210850948828,146186.53021138592,400.5110416750299,0.7210850727208737
Tremosine sul Garda,2079,0.0016452822185273497,65.81128874109399,11846.031973396917,142152.383680763,389.45858542674796,0.7011860926972387
Bovegno,2027,0.0016041303785257037,64.16521514102814,11549.738725385065,138596.8647046208,379.7174375469063,0.6836480086086114
Collio,2001,0.0015835544585248806,63.342178340995225,11401.592101379141,136819.1052165497,374.8468636069855,0.6748789665642978
Fiesse,2001,0.0015835544585248806,63.342178340995225,11401.592101379141,136819.1052165497,374.8468636069855,0.6748789665642978
Visano,1992,0.0015764320246784418,63.05728098713767,11350.31057768478,136203.72693221737,373.1608957047051,0.6718435289335737
Niardo,1954,0.0015463595262157005,61.85438104862802,11133.788588753043,133605.4630650365,366.04236456174385,0.6590272367149613
Sulzano,1950,0.0015431940000617277,61.727760002469104,11110.996800444438,133331.96160533326,365.29304549406373,0.6576781533235284
Malegno,1940,0.0015352801846767958,61.41120738707183,11054.01732967293,132648.20795607514,363.4197478248634,0.6543054448449462
Soiano del Lago,1936,0.001532114658522823,61.284586340912924,11031.225541364327,132374.70649637192,362.67042875718334,0.6529563614535134
Odolo,1927,0.0015249922246763842,60.99968898705537,10979.944017669966,131759.3282120396,360.98446085490303,0.6499209238227894
Corteno Golgi,1920,0.001519452553906932,60.77810215627728,10940.05838812991,131280.70065755892,359.6731524864628,0.6475600278877819
Idro,1888,0.0014941283446751497,59.765133787005986,10757.724081661077,129092.68897993292,353.6785999450217,0.6367673607563188
Ceto,1782,0.0014102419015948713,56.40967606379485,10153.741691483072,121844.90029779686,333.8216446514983,0.6010166508833475
Milzano,1758,0.0013912487446710346,55.64994978684138,10016.990961631449,120203.8915395774,329.3257302454175,0.5929221505347503
Ponte di Legno,1748,0.0013833349292861027,55.333397171444105,9960.011490859939,119520.13789031927,327.4524325762172,0.5895494420561681
Brandico,1742,0.0013785866400551434,55.14346560220574,9925.823808397032,119109.88570076438,326.3284539746969,0.5875258169690187
Agnosine,1662,0.001315276116975688,52.61104467902752,9469.988042224953,113639.85650669943,311.34207262109436,0.5605441491403612
Monte Isola,1629,0.0012891605262054125,51.5664210482165,9281.95578867897,111383.46946414764,305.1601903127333,0.54941421116104
Lodrino,1625,0.0012859950000514398,51.439800002057595,9259.164000370367,111109.96800444441,304.41087124505316,0.5480651277696071
Casto,1615,0.001278081184666508,51.12324738666032,9202.184529598857,110426.21435518628,302.53757357585283,0.544692419291025
Acquafredda,1533,0.001213187898510066,48.52751594040264,8734.952869272474,104819.43443126969,287.17653268841013,0.5170362097666509
Berzo Demo,1513,0.0011973602677402021,47.89441070960809,8620.993927729456,103451.92713275348,283.42993735000954,0.5102907928094865
Maclodio,1494,0.0011823240185088314,47.29296074035326,8512.732933263587,102152.79519916305,279.8706717785289,0.5038826467001803
Preseglie,1483,0.0011736188215854062,46.94475286341625,8450.055515414924,101400.66618497908,277.81004434240845,0.5001726673737398
Ossimo,1478,0.0011696619138929403,46.78647655571761,8421.56578002917,101058.78936035004,276.8733955078083,0.49848631313444874
Vezza d'Oglio,1472,0.001164913624661981,46.596544986479245,8387.378097566265,100648.53717079517,275.74941690628816,0.4964626880472995
Cigole,1460,0.0011554170462000628,46.216681848002516,8319.002732640452,99828.03279168543,273.50145970324775,0.4924154378730008
Pezzaze,1459,0.0011546256646615695,46.18502658646278,8313.304785563301,99759.65742675962,273.31412993632773,0.4920781670251426
Corzano,1436,0.0011364238892762261,45.45695557104904,8182.252002788828,98187.02403346593,269.0055452971669,0.48432093752440347
Seniga,1416,0.0011205962585063623,44.823850340254495,8068.293061245809,96819.51673494972,265.2589499587664,0.4775755205672393
Vallio Terme,1413,0.0011182221138908827,44.72888455563531,8051.199220014356,96614.39064017226,264.6969606580062,0.4765637080236645
Sellero,1394,0.001103185864659512,44.12743458638048,7942.938225548487,95315.25870658184,261.1376950865256,0.4701555619143583
Villachiara,1369,0.0010834013261971822,43.33605304788729,7800.489548619712,93605.87458343654,256.4544509135248,0.46172379071790287
Bione,1312,0.0010382925785030702,41.53170314012281,7475.706565222105,89708.47878266526,245.7766541990829,0.44249935238998434
Sonico,1210,0.0009575716615767645,38.30286646307058,6894.515963352705,82734.19156023246,226.66901797323962,0.40809772590844595
Tavernole sul Mella,1209,0.0009567802800382712,38.271211201530846,6888.8180162755525,82665.81619530663,226.48168820631955,0.40776045506058767
Tignale,1164,0.0009211681108060775,36.8467244322431,6632.410397803758,79588.92477364509,218.05184869491805,0.39258326690696776
Barghe,1143,0.0009045490984977204,36.18196393990882,6512.753509183587,78153.04211020304,214.11792358959735,0.38550057910194513
Temù,1137,0.0008998008092667612,35.99203237067045,6478.565826720681,77742.78992064817,212.99394498807717,0.3834769540147958
Limone sul Garda,1133,0.0008966352831127885,35.86541132451154,6455.774038412077,77469.28846094492,212.24462592039706,0.38212787062336295
Cedegolo,1100,0.0008705196923425131,34.820787693700524,6267.741784866094,75212.90141839313,206.06274361203597,0.37099793264404174
Zone,1026,0.0008119574584940167,32.47829833976067,5846.09370115692,70153.12441388305,192.20034085995357,0.3460398899025335
Ono San Pietro,971,0.0007684314738768912,30.737258955075646,5532.706611913616,66392.4793429634,181.89720367935178,0.3274899932703314
Provaglio Val Sabbia,876,0.0006932502277200377,27.730009108801507,4991.401639584271,59896.819675011255,164.10087582194865,0.2954492627238005
Cevo,820,0.0006489328615644188,25.957314462576754,4672.3166032638155,56067.79923916579,153.6104088744268,0.27656209524374015
Saviore dell'Adamello,799,0.0006323138492560618,25.29255397024247,4552.659714643644,54631.916575723735,149.6764837691061,0.26947940743871757
Mura,781,0.0006180689815631843,24.722759262527372,4450.096667254927,53401.16000705912,146.30454796454555,0.2634085321772696
Brione,753,0.0005959102984853748,23.836411939414994,4290.554149094699,51486.64978913638,141.0593144907846,0.25396494843723944
Braone,693,0.0005484274061757832,21.937096247031327,3948.677324465639,47384.12789358766,129.81952847558264,0.23372869756574624
Cerveno,662,0.0005238945784824942,20.95578313929977,3772.0409650739584,45264.4915808875,124.01230570106165,0.22327330128214146
Marmentino,660,0.0005223118154055079,20.892472616220317,3760.645070919657,45127.74085103588,123.63764616722159,0.22259875958642503
Losine,628,0.0004969876061737256,19.879504246949026,3578.3107644508245,42939.7291734099,117.64309362578054,0.21180609245496199
Vione,626,0.0004954048430967393,19.81619372386957,3566.9148702965226,42802.97844355827,117.26843409194046,0.21113155075924553
Paspardo,582,0.00046058405540303876,18.42336221612155,3316.205198901879,39794.462386822546,109.02592434745902,0.19629163345348388
Pertica Bassa,558,0.0004415908984792021,17.663635939168085,3179.4544690502553,38153.45362860306,104.53000994137825,0.18819713310488662
Pertica Alta,558,0.0004415908984792021,17.663635939168085,3179.4544690502553,38153.45362860306,104.53000994137825,0.18819713310488662
Longhena,552,0.00043684260924824295,17.473704369929717,3145.266786587349,37743.20143904819,103.40603133985806,0.1861735080177373
Cimbergo,536,0.0004241805046323518,16.967220185294074,3054.0996333529333,36649.1956002352,100.40875506913754,0.1807771744520058
Monno,515,0.00040756149232399475,16.30245969295979,2934.442744732762,35213.31293679315,96.47482996381684,0.17369448664698317
Treviso Bresciano,514,0.0004067701107855016,16.270804431420064,2928.7447976556114,35144.93757186734,96.28750019689681,0.17335721579912497
Lavenone,488,0.00038619419078467855,15.447767631387142,2780.5981736496856,33367.17808379623,91.41692625697597,0.16458817375481125
Anfo,449,0.00035533031078344396,14.213212431337759,2558.3782376407967,30700.538851689562,84.1110653470947,0.1514346106883407
Lozio,354,0.0002801490646265906,11.205962585063624,2017.0732653114524,24204.87918373743,66.3147374896916,0.11939388014180982
Incudine,345,0.00027302663078015185,10.921065231206073,1965.7917416170933,23589.50089940512,64.62876958741128,0.11635844251108582
Capovalle,340,0.00026906972308768585,10.762788923507435,1937.3020062313383,23247.62407477606,63.69212075281112,0.11467208827179472
Paisco Loveno,173,0.0001369090061593225,5.4763602463729,985.7448443471221,11828.938132165466,32.40804967716566,0.05834785667947202
Valvestino,168,0.00013295209846685653,5.3180839386742615,957.2551089613671,11487.061307536405,31.471400842565494,0.056661502440180915
Irma,133,0.00010525374461959476,4.21014978478379,757.8269612610823,9093.923535132988,24.914859000364352,0.04485702276514323
Magasa,107,8.467782461877173e-05,3.3871129847508694,609.6803372551565,7316.164047061878,20.0442850604435,0.03608798072082951
