Comune,Pop_Comune_2030_Ottimistico,Quota Popolazione 2030 Ottimistico,EV Stimati (2030 - Ottimistico),Domanda Mensile (kWh) - Ottimistico,Domanda Annua (kWh) - Ottimistico,Domanda Giornaliera (kWh) - Ottimistico,Colonnine Necessarie - Ottimistico
Pezzaze,1474,0.0011550040511336122,69.30024306801673,12474.043752243011,149688.52502691612,410.1055480189483,0.7383591415600016
Corzano,1450,0.0011361980150228885,68.17188090137331,12270.938562247196,147251.26274696636,403.4281171149763,0.7263370117109922
Seniga,1430,0.001120526318263952,67.23157909583712,12101.684237250682,145220.2108470082,397.8635913616663,0.7163185701701509
Vallio Terme,1427,0.0011181755637501116,67.0905338250067,12076.296088501207,144915.5530620145,397.0289124986698,0.7148158039390248
Sellero,1408,0.0011032874518291222,66.19724710974734,11915.504479754522,142986.05375705427,391.7426130330254,0.7052982844752258
Villachiara,1382,0.0010829142460425049,64.9748547625503,11695.473857259052,140345.68628710863,384.5087295537223,0.692274310472132
Bione,1325,0.001038249910279536,62.29499461677216,11213.099031018988,134557.18837222786,368.64983115678865,0.6637217520807341
Sonico,1222,0.0009575406719710137,57.45244031826082,10341.439257286947,124097.27108744337,339.9925235272421,0.6121267781454017
Tavernole sul Mella,1221,0.0009567570871330668,57.40542522798401,10332.976541037122,123995.71849244546,339.71429723957664,0.6116258560683597
Tignale,1175,0.0009207121845875131,55.24273107525079,9943.691593545142,119324.2991225417,326.9158880069636,0.5885834405244248
Barghe,1154,0.0009042569029906298,54.25541417943779,9765.974552298803,117191.69462758565,321.07313596598806,0.5780640769065414
Temù,1148,0.000899555393962949,53.973323637776936,9715.198254799849,116582.37905759818,319.403778239995,0.5750585444442889
Limone sul Garda,1144,0.0008964210546111617,53.7852632766697,9681.347389800547,116176.16867760656,318.29087308933305,0.5730548561361207
Cedegolo,1111,0.0008705627549589166,52.233765297535,9402.0777535563,112824.93304267559,309.10940559637146,0.5565244275937326
Zone,1036,0.0008117938921129051,48.70763352677431,8767.374034819375,105208.4884178325,288.2424340214589,0.5189552718155778
Ono San Pietro,980,0.0007679131411878833,46.074788471272996,8293.461924829138,99521.54309794966,272.66176191219085,0.49090363550122224
Provaglio Val Sabbia,885,0.0006934725815829354,41.608354894976124,7489.503881095702,89874.04657314843,246.2302645839683,0.44331603818222626
Cevo,828,0.0006488082458199667,38.928494749198,7007.129054855641,84085.54865826768,230.37136618703474,0.4147634797908286
Saviore dell'Adamello,807,0.0006323529642230835,37.941177853385014,6829.412013609302,81952.94416331162,224.52861414605923,0.4042441161729453
Mura,789,0.0006182484371400407,37.094906228402444,6677.08312111244,80124.99745334928,219.5205409680802,0.39522751878618817
Brione,760,0.000595524476839583,35.731468610374975,6431.664349867496,77179.97219840995,211.45197862578067,0.38070077855196827
Braone,700,0.0005485093865627737,32.91056319376642,5923.901374877956,71086.81649853548,194.75840136585063,0.3506454539294445
Cerveno,669,0.0005242182565864224,31.453095395185343,5661.557171133361,67938.68605360034,186.1333864482201,0.33511686954114056
Marmentino,667,0.0005226510869105287,31.359065214631723,5644.6317386337105,67735.58086360453,185.5769338728891,0.3341150253870564
Losine,634,0.0004967927872582837,29.807567235497018,5365.362102389463,64384.345228673556,176.39546637992754,0.3175845968446683
Vione,632,0.00049522561758239,29.7135370549434,5348.436669889812,64181.240038677744,175.83901380459656,0.31658275269058417
Paspardo,588,0.00046074788471272995,27.644873082763798,4976.0771548974835,59712.9258587698,163.59705714731453,0.2945421813007334
Pertica Bassa,563,0.00044115826376405946,26.469495825843566,4764.5092486518415,57174.1109838221,156.641399955677,0.28201912937468177
Pertica Alta,563,0.00044115826376405946,26.469495825843566,4764.5092486518415,57174.1109838221,156.641399955677,0.28201912937468177
Longhena,557,0.00043645675473637853,26.187405284182713,4713.732951152889,56564.79541383467,154.97204222968404,0.2790135969124295
Cimbergo,541,0.00042391939732922945,25.435163839753766,4578.329491155678,54939.953893868136,150.520421627036,0.2709988436797564
Monno,520,0.00040746411573234625,24.447846943940775,4400.612449909339,52807.349398912076,144.6776695860605,0.2604794800618731
Treviso Bresciano,519,0.0004066805308943994,24.400831853663963,4392.149733659513,52705.796803914156,144.39944329839494,0.25997855798483094
Lavenone,493,0.00038630732510778207,23.178439506466923,4172.119111164046,50065.429333968554,137.16555981909192,0.2469545839817373
Anfo,454,0.0003557475164278561,21.344850985671368,3842.073177420846,46104.87812905015,126.3147346001374,0.22741862297709683
Lozio,357,0.0002797397871470146,16.784387228820876,3021.1897011877577,36254.276414253094,99.32678469658381,0.1788291815040167
Incudine,348,0.00027268752360549325,16.361251416329594,2945.025254939327,35340.30305927193,96.82274810759432,0.17432088281063815
Capovalle,343,0.00026876959941575914,16.12617596494555,2902.711673690199,34832.54008428239,95.43161666926682,0.17181627242542782
Paisco Loveno,175,0.00013712734664069343,8.227640798441605,1480.975343719489,17771.70412463387,48.68960034146266,0.08766136348236113
Valvestino,170,0.00013320942245095935,7.992565347057561,1438.661762470361,17263.94114964433,47.29846890313515,0.0851567530971508
Irma,134,0.00010500036828487383,6.30002209709243,1134.0039774766374,13608.047729719648,37.28232254717712,0.0671235583236365
Magasa,108,8.462716249825652e-05,5.077629749895391,913.9733549811704,10967.680259774044,30.048439067874092,0.054099584320542855
